After Dark in Central Park,[]
Boarding School Girls' Pajama Parade,[]
Buffalo Bill's Wild West Parad,[]
Caught,[]
Clowns Spinning Hats,[]
Capture of Boer Battery by British,[Short, Documentary]
The Enchanted Drawing,[]
Feeding Sea Lions,[]
How to Make a Fat Wife Out of Two Lean Ones,[Comedy]
New Life Rescue,[]
New Morning Bath,[]
Searching Ruins on Broadway, Galveston, for Dead Bodies,[]
The Tribulations of an Amateur Photographer,[]
Trouble in Hogan's Alley,[Comedy]
Two Old Sparks,[Short]
The Wonder, Ching Ling Foo,[Short]
Watermelon Contest,[Short]
Acrobats in Cairo,[]
An Affair of Honor,[]
Another Job for the Undertaker,[]
Arrival of Tongkin Train,[]
The Artist's Dilemma,[]
Band and Battalion of the U.S. Indian School,[]
Barnum and Bailey's Circus,[]
Beef Extract Room,[]
Boxing in Barrels,[]
Branding Hams,[]
Buffalo Street Parade,[]
A Busy Corner at Armour's,[]
The Bund, Shanghai,[]
Circular Panorama of the Base of the Electric Tower, Ending Looking Down the Mall,[]
Circular Panorama of the Electric Tower and Pond,[]
Circular Panorama of the Esplanade with the Electric Tower in the Background,[]
Coaling a Steamer, Nagasaki Bay, Japan,[]
Convention of Railroad Passengers,[]
Cornell-Columbia-University of Pennsylvania Boat Race at Ithaca, N.Y., Showing Lehigh Valley Observation Train,[]
Couchee Dance on the Midway,[]
The Donkey Party,[]
The Finish of Bridget McKeen,[]
Follow the Leader,[]
The Fraudulent Beggar,[]
Fun at a Children's Party,[]
A Good Joke,[]
The Gordon Sisters Boxing,[]
Grand Entry, Indian Congress,[]
Happy Hooligan April-Fooled,[]
Happy Hooligan Surprised,[]
Harbor of Shanghai,[]
A Hold-Up,[]
Ice-Boat Racing at Redbank, N.J.,[]
Indians No. 1,[]
Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901,[]
A Joke on Grandma,[]
Kansas Saloon Smashers,[]
